topicID	numTokensOfTopic	topicInAuthor	authorInTopic	author
4	123202	0.178053	0.152366	Herbert, Frank
70	47232	0.068260	0.014286	Herbert, Frank
48	42115	0.060865	0.016277	Herbert, Frank
53	32358	0.046764	0.008640	Herbert, Frank
41	32309	0.046693	0.011833	Herbert, Frank
29	28096	0.040605	0.018500	Herbert, Frank
39	26517	0.038323	0.007393	Herbert, Frank
23	25692	0.037130	0.008745	Herbert, Frank
10	25573	0.036958	0.012010	Herbert, Frank
6	20510	0.029641	0.013469	Herbert, Frank
17	19290	0.027878	0.008080	Herbert, Frank
28	18278	0.026416	0.003629	Herbert, Frank
25	17064	0.024661	0.006522	Herbert, Frank
50	15637	0.022599	0.009418	Herbert, Frank
65	14450	0.020883	0.005286	Herbert, Frank
0	12241	0.017691	0.007042	Herbert, Frank
26	12172	0.017591	0.011955	Herbert, Frank
36	12138	0.017542	0.007035	Herbert, Frank
21	11787	0.017035	0.009945	Herbert, Frank
1	11710	0.016923	0.008063	Herbert, Frank
19	11003	0.015902	0.011565	Herbert, Frank
7	9328	0.013481	0.005392	Herbert, Frank
68	8574	0.012391	0.005829	Herbert, Frank
47	8573	0.012390	0.003263	Herbert, Frank
35	8353	0.012072	0.007508	Herbert, Frank
44	8028	0.011602	0.005066	Herbert, Frank
9	8026	0.011599	0.006762	Herbert, Frank
40	6934	0.010021	0.004451	Herbert, Frank
18	6787	0.009809	0.003822	Herbert, Frank
61	6158	0.008900	0.006082	Herbert, Frank
57	6006	0.008680	0.006031	Herbert, Frank
15	5673	0.008199	0.004947	Herbert, Frank
45	4902	0.007084	0.004985	Herbert, Frank
27	4081	0.005898	0.004746	Herbert, Frank
63	3997	0.005777	0.013393	Herbert, Frank
73	3755	0.005427	0.001725	Herbert, Frank
69	3328	0.004810	0.004246	Herbert, Frank
2	2740	0.003960	0.003290	Herbert, Frank
51	2659	0.003843	0.002831	Herbert, Frank
34	2382	0.003442	0.004701	Herbert, Frank
42	2119	0.003062	0.005722	Herbert, Frank
72	2108	0.003047	0.006496	Herbert, Frank
62	1462	0.002113	0.003586	Herbert, Frank
3	1396	0.002018	0.001359	Herbert, Frank
58	1273	0.001840	0.001991	Herbert, Frank
54	1210	0.001749	0.001587	Herbert, Frank
13	1071	0.001548	0.001625	Herbert, Frank
5	1050	0.001517	0.002241	Herbert, Frank
37	987	0.001426	0.003564	Herbert, Frank
14	980	0.001416	0.002250	Herbert, Frank
46	915	0.001322	0.001381	Herbert, Frank
38	898	0.001298	0.001554	Herbert, Frank
64	655	0.000947	0.004607	Herbert, Frank
12	650	0.000939	0.001163	Herbert, Frank
55	630	0.000910	0.001302	Herbert, Frank
16	612	0.000884	0.000824	Herbert, Frank
30	472	0.000682	0.000700	Herbert, Frank
8	420	0.000607	0.000779	Herbert, Frank
56	402	0.000581	0.001813	Herbert, Frank
49	271	0.000392	0.000835	Herbert, Frank
31	264	0.000382	0.000957	Herbert, Frank
32	260	0.000376	0.000550	Herbert, Frank
59	241	0.000348	0.000708	Herbert, Frank
74	228	0.000330	0.000691	Herbert, Frank
22	228	0.000330	0.000718	Herbert, Frank
11	222	0.000321	0.000812	Herbert, Frank
52	216	0.000312	0.000533	Herbert, Frank
60	194	0.000280	0.000366	Herbert, Frank
43	188	0.000272	0.001266	Herbert, Frank
67	145	0.000210	0.000954	Herbert, Frank
71	138	0.000199	0.000604	Herbert, Frank
33	121	0.000175	0.000851	Herbert, Frank
66	115	0.000166	0.000592	Herbert, Frank
20	85	0.000123	0.000385	Herbert, Frank
24	56	0.000081	0.000137	Herbert, Frank
70	94765	0.087475	0.028663	Vance, Jack
39	70929	0.065473	0.019776	Vance, Jack
53	62485	0.057678	0.016684	Vance, Jack
23	55538	0.051266	0.018903	Vance, Jack
35	51131	0.047198	0.045961	Vance, Jack
17	49791	0.045961	0.020855	Vance, Jack
24	48126	0.044424	0.117676	Vance, Jack
50	46722	0.043128	0.028141	Vance, Jack
7	40931	0.037782	0.023660	Vance, Jack
1	34139	0.031513	0.023506	Vance, Jack
47	30670	0.028311	0.011673	Vance, Jack
25	26675	0.024623	0.010196	Vance, Jack
41	25842	0.023854	0.009464	Vance, Jack
0	24876	0.022962	0.014310	Vance, Jack
34	24428	0.022549	0.048207	Vance, Jack
48	23393	0.021593	0.009041	Vance, Jack
74	22921	0.021158	0.069427	Vance, Jack
6	21385	0.019740	0.014043	Vance, Jack
10	20331	0.018767	0.009548	Vance, Jack
19	19031	0.017567	0.020004	Vance, Jack
28	17927	0.016548	0.003559	Vance, Jack
29	16751	0.015462	0.011030	Vance, Jack
36	16122	0.014882	0.009344	Vance, Jack
65	13398	0.012367	0.004902	Vance, Jack
5	13165	0.012152	0.028094	Vance, Jack
57	13108	0.012100	0.013163	Vance, Jack
26	12619	0.011648	0.012394	Vance, Jack
9	12460	0.011501	0.010497	Vance, Jack
61	12069	0.011141	0.011920	Vance, Jack
3	11892	0.010977	0.011576	Vance, Jack
54	9883	0.009123	0.012961	Vance, Jack
40	9809	0.009054	0.006296	Vance, Jack
64	8761	0.008087	0.061623	Vance, Jack
21	8056	0.007436	0.006797	Vance, Jack
13	7892	0.007285	0.011976	Vance, Jack
14	7744	0.007148	0.017782	Vance, Jack
68	7506	0.006929	0.005103	Vance, Jack
69	7223	0.006667	0.009214	Vance, Jack
15	6847	0.006320	0.005971	Vance, Jack
18	6807	0.006283	0.003833	Vance, Jack
45	6474	0.005976	0.006584	Vance, Jack
42	6199	0.005722	0.016738	Vance, Jack
44	5840	0.005391	0.003685	Vance, Jack
27	5720	0.005280	0.006652	Vance, Jack
2	5645	0.005211	0.006778	Vance, Jack
51	5476	0.005055	0.005830	Vance, Jack
73	5313	0.004904	0.002440	Vance, Jack
33	3344	0.003087	0.023510	Vance, Jack
72	3200	0.002954	0.009862	Vance, Jack
4	2641	0.002438	0.003266	Vance, Jack
38	2469	0.002279	0.004273	Vance, Jack
62	1752	0.001617	0.004297	Vance, Jack
37	1483	0.001369	0.005356	Vance, Jack
46	1261	0.001164	0.001904	Vance, Jack
30	1047	0.000966	0.001553	Vance, Jack
8	997	0.000920	0.001848	Vance, Jack
63	936	0.000864	0.003136	Vance, Jack
58	902	0.000833	0.001411	Vance, Jack
67	806	0.000744	0.005305	Vance, Jack
60	802	0.000740	0.001515	Vance, Jack
16	703	0.000649	0.000946	Vance, Jack
12	687	0.000634	0.001229	Vance, Jack
56	598	0.000552	0.002697	Vance, Jack
31	545	0.000503	0.001976	Vance, Jack
49	529	0.000488	0.001630	Vance, Jack
