HTID	author
dul1.ark:/13960/t5gb2ss8d	Wells, H. G. (Herbert George)
inu.30000009621628	Lem, Stanisław
inu.30000009648548	Lem, Stanisław
inu.30000036612392	Banks, Iain
inu.30000036960361	Banks, Iain
inu.30000081157426	Delany, Samuel R
inu.30000093966897	Norton, Andre
inu.32000000636839	Anderson, Poul
inu.32000009143902	Wyndham, John
inu.39000002436611	Bradbury, Ray
inu.39000002610124	Pohl, Frederik
mdp.39015000221716	Russ, Joanna
mdp.39015000549207	Pohl, Frederik
mdp.39015000549348	Pohl, Frederik
mdp.39015000625254	Knight, Damon
mdp.39015002191446	Brunner, John
mdp.39015002969064	Lem, Stanisław
mdp.39015003491811	Simak, Clifford D
mdp.39015003665547	Haldeman, Joe W
mdp.39015003928853	Gernsback, Hugo
mdp.39015004264415	Blish, James
mdp.39015005085272	Asimov, Isaac
mdp.39015005091841	Norton, Andre
mdp.39015005156263	Norton, Andre
mdp.39015005320745	Delany, Samuel R
mdp.39015005571172	Pohl, Frederik
mdp.39015005649820	Norton, Andre
mdp.39015005728657	Norton, Andre
mdp.39015005749158	Norton, Andre
mdp.39015005751584	Norton, Andre
mdp.39015006197324	Simak, Clifford D
mdp.39015007068235	Asimov, Isaac
mdp.39015008096565	Niven, Larry
mdp.39015008196746	Norton, Alice Mary
mdp.39015008543418	Niven, Larry
mdp.39015008600119	Delany, Samuel R
mdp.39015008670872	Bradley, Marion Zimmer
mdp.39015008806088	Silverberg, Robert
mdp.39015008817374	Heinlein, Robert A. (Robert Anson)
mdp.39015008828157	Vance, Jack
mdp.39015008862560	Van Vogt, A. E. (Alfred Elton)
mdp.39015008864657	Van Vogt, A. E. (Alfred Elton)
mdp.39015008864665	Van Vogt, A. E. (Alfred Elton)
mdp.39015008955943	Delany, Samuel R
mdp.39015009101497	Niven, Larry
mdp.39015010226085	Wyndham, John
mdp.39015010368176	Lem, Stanisław
mdp.39015010524562	Lem, Stanisław
mdp.39015010537812	Silverberg, Robert
mdp.39015011024562	Anderson, Poul
mdp.39015011054155	Bester, Alfred
mdp.39015011542720	Silverberg, Robert
mdp.39015011695874	Norton, Andre
mdp.39015011886184	Van Vogt, A. E. (Alfred Elton)
mdp.39015011886747	Anderson, Poul
mdp.39015012119213	Delany, Samuel R
mdp.39015012204890	Anderson, Poul
mdp.39015012435775	Anderson, Poul
mdp.39015012974294	Asimov, Isaac
mdp.39015013002491	Wyndham, John
mdp.39015013004034	Wyndham, John
mdp.39015013260727	Martin, George R. R
mdp.39015013282846	Brunner, John
mdp.39015013285799	Brunner, John
mdp.39015013395523	Vance, Jack
mdp.39015014136595	Pohl, Frederik
mdp.39015014447505	Wells, H. G. (Herbert George)
mdp.39015014504024	Anderson, Poul
mdp.39015014519063	Pohl, Frederik
