topicID	numTokens	proportionOfTopic	proportionOfWord	word
33	1905	0.013393	0.997382	foyle
33	841	0.005913	0.038297	master
33	741	0.005210	0.205833	carl
33	676	0.004753	0.377654	gully
33	608	0.004275	0.142389	ing
33	579	0.004071	0.609474	nomad
33	538	0.003782	0.143085	robin
33	519	0.003649	0.926786	amelia
33	480	0.003375	0.021034	moon
33	479	0.003368	0.077383	hat
33	408	0.002868	0.995122	jaunting
33	407	0.002861	0.626154	pyre
33	395	0.002777	0.526667	brill
33	385	0.002707	0.895349	ind
33	376	0.002643	0.989474	cyr
33	368	0.002587	0.404396	tycho
33	325	0.002285	0.406250	med
33	321	0.002257	0.031014	ill
33	315	0.002215	0.143182	rig
33	310	0.002179	0.387500	ere
19	10068	0.010583	0.085041	men
19	7182	0.007549	0.060414	great
19	6369	0.006695	0.080845	upon
19	5816	0.006113	0.050504	many
19	4940	0.005192	0.079065	among
19	4703	0.004943	0.122315	ones
19	4258	0.004476	0.054056	others
19	4245	0.004462	0.082781	death
19	4224	0.004440	0.064439	city
19	4197	0.004412	0.034186	place
19	4084	0.004293	0.046147	also
19	4030	0.004236	0.108130	land
19	3933	0.004134	0.054580	high
19	3882	0.004080	0.033379	yet
19	3875	0.004073	0.042503	night
19	3597	0.003781	0.032211	each
19	3559	0.003741	0.032092	perhaps
19	3543	0.003724	0.028953	world
19	3494	0.003673	0.029468	things
19	3455	0.003632	0.046740	days
48	37359	0.014439	0.340711	felt
48	18287	0.007068	0.155277	moment
48	16481	0.006370	0.243982	feel
48	14986	0.005792	0.182979	body
48	14642	0.005659	0.332395	feeling
48	14045	0.005428	0.120765	yet
48	13612	0.005261	0.111987	voice
48	12439	0.004808	0.304877	fear
48	11771	0.004549	0.152632	suddenly
48	11559	0.004467	0.203862	sense
48	10736	0.004149	0.162667	words
48	9873	0.003816	0.292707	touch
48	9693	0.003746	0.208811	strange
48	9622	0.003719	0.086763	perhaps
48	9518	0.003679	0.335495	aware
48	9239	0.003571	0.255999	somehow
48	9157	0.003539	0.107869	gone
48	8778	0.003393	0.133587	moved
48	8770	0.003390	0.087307	toward
48	8677	0.003354	0.188754	cold
15	22361	0.019501	0.539469	children
15	15749	0.013735	0.392156	mother
15	13803	0.012038	0.215807	young
15	13776	0.012014	0.371221	child
15	13520	0.011791	0.304779	women
15	12773	0.011139	0.245399	father
15	12715	0.011089	0.175379	woman
15	12154	0.010600	0.421137	family
